name,gender,species,year,county,count
AIDAN,M,human,2015,New York,12
AIDAN,M,human,2015,Queens,31
AIDEL,F,human,2014,Kings,6
AIDEN,M,human,2007,Bronx,46
AIDEN,M,human,2007,Kings,52
AIDEN,M,human,2007,New York,40
AIDEN,M,human,2007,Queens,49
AIDEN,M,human,2007,Richmond,18
AIDEN,M,human,2008,Bronx,74
AIDEN,M,human,2008,Kings,84
AIDEN,M,human,2008,New York,59
AIDEN,M,human,2008,Queens,78
AIDEN,M,human,2008,Richmond,14
AIDEN,M,human,2009,Bronx,89
AIDEN,M,human,2009,Kings,96
AIDEN,M,human,2009,New York,43
AIDEN,M,human,2009,Queens,107
AIDEN,M,human,2009,Richmond,24
AIDEN,M,human,2010,Bronx,116
AIDEN,M,human,2010,Kings,128
AIDEN,M,human,2010,New York,67
AIDEN,M,human,2010,Queens,136
AIDEN,M,human,2010,Richmond,18
AIDEN,M,human,2011,Bronx,113
AIDEN,M,human,2011,Kings,177
AIDEN,M,human,2011,New York,71
AIDEN,M,human,2011,Queens,172
AIDEN,M,human,2011,Richmond,30
AIDEN,M,human,2012,Bronx,123
AIDEN,M,human,2012,Kings,187
AIDEN,M,human,2012,New York,62
AIDEN,M,human,2012,Queens,171
AIDEN,M,human,2012,Richmond,35
AIDEN,M,human,2013,Bronx,106
AIDEN,M,human,2013,Kings,182
AIDEN,M,human,2013,New York,53
AIDEN,M,human,2013,Queens,144
AIDEN,M,human,2013,Richmond,19
AIDEN,M,human,2014,Bronx,110
AIDEN,M,human,2014,Kings,161
AIDEN,M,human,2014,New York,53
AIDEN,M,human,2014,Queens,161
AIDEN,M,human,2014,Richmond,28
AIDEN,M,human,2015,Bronx,111
AIDEN,M,human,2015,Kings,169
AIDEN,M,human,2015,New York,49
AIDEN,M,human,2015,Queens,171
AIDEN,M,human,2015,Richmond,22
AILEEN,F,human,2010,Kings,10
AILEEN,F,human,2010,Queens,11
AILEEN,F,human,2011,Queens,11
AILEEN,F,human,2012,Bronx,10
AILEEN,F,human,2014,Bronx,5
AILEEN,F,human,2014,Queens,11
AILEEN,F,human,2015,Queens,10
AIMEE,F,human,2015,Kings,10
AISHA,F,human,2007,Queens,12
AISHA,F,human,2008,Kings,12
AISHA,F,human,2008,Queens,11
AISHA,F,human,2009,Queens,12
AISHA,F,human,2010,Bronx,23
AISHA,F,human,2010,Queens,10
AISHA,F,human,2011,Bronx,13
AISHA,F,human,2011,Kings,13
AISHA,F,human,2011,Queens,13
AISHA,F,human,2012,Bronx,23
AISHA,F,human,2012,Queens,11
AISHA,F,human,2013,Bronx,13
AISHA,F,human,2013,Kings,11
AISHA,F,human,2013,Queens,19
AISHA,F,human,2014,Bronx,17
AISHA,F,human,2014,Kings,13
AISHA,F,human,2014,Queens,13
AISHA,F,human,2015,Bronx,28
AISHA,F,human,2015,Kings,29
AISHA,F,human,2015,Queens,12
AISSATOU,F,human,2008,Bronx,11
AISSATOU,F,human,2014,Bronx,7
AIZA,F,human,2014,Kings,10
AIZA,F,human,2014,Queens,6
AJANI,M,human,2009,Kings,11
AKIVA,M,human,2008,Kings,11
AKIVA,M,human,2009,Kings,10
AKIVA,M,human,2010,Queens,14
AKIVA,M,human,2012,Kings,11
AKIVA,M,human,2013,Kings,17
AKIVA,M,human,2013,Queens,10
AKIVA,M,human,2014,Kings,10
AKIVA,M,human,2014,Queens,8
ALAIA,F,human,2015,Bronx,39
ALAIA,F,human,2015,Queens,17
ALAINA,F,human,2014,Bronx,7
ALAINA,F,human,2014,Kings,7
ALAN,M,human,2007,Kings,45
ALAN,M,human,2007,New York,13
ALAN,M,human,2007,Queens,35
ALAN,M,human,2008,Bronx,14
ALAN,M,human,2008,Kings,48
ALAN,M,human,2008,New York,14
ALAN,M,human,2008,Queens,27
ALAN,M,human,2009,Bronx,13
ALAN,M,human,2009,Kings,35
ALAN,M,human,2009,New York,12
ALAN,M,human,2009,Queens,36
ALAN,M,human,2010,Bronx,24
ALAN,M,human,2010,Kings,42
ALAN,M,human,2010,Queens,22
ALAN,M,human,2011,Bronx,15
ALAN,M,human,2011,Kings,43
ALAN,M,human,2011,New York,13
ALAN,M,human,2011,Queens,25
ALAN,M,human,2012,Bronx,15
ALAN,M,human,2012,Kings,45
ALAN,M,human,2012,Queens,30
ALAN,M,human,2013,Bronx,22
ALAN,M,human,2013,Kings,42
ALAN,M,human,2013,Queens,39
ALAN,M,human,2014,Bronx,22
ALAN,M,human,2014,Kings,28
ALAN,M,human,2014,New York,15
ALAN,M,human,2014,Queens,31
ALAN,M,human,2014,Richmond,8
ALAN,M,human,2015,Bronx,21
ALAN,M,human,2015,Kings,43
ALAN,M,human,2015,New York,12
ALAN,M,human,2015,Queens,41
ALANA,F,human,2007,Bronx,19
ALANA,F,human,2007,Kings,17
ALANA,F,human,2007,New York,17
ALANA,F,human,2007,Queens,19
ALANA,F,human,2008,Bronx,12
ALANA,F,human,2008,Kings,17
ALANA,F,human,2008,New York,10
ALANA,F,human,2008,Queens,11
ALANA,F,human,2009,Bronx,11
ALANA,F,human,2009,Kings,16
ALANA,F,human,2009,Queens,12
ALANA,F,human,2010,Bronx,15
ALANA,F,human,2010,Kings,15
ALANA,F,human,2010,Queens,17
ALANA,F,human,2011,Kings,11
ALANA,F,human,2011,Queens,17
ALANA,F,human,2012,Bronx,13
ALANA,F,human,2012,Kings,14
ALANA,F,human,2012,New York,11
ALANA,F,human,2012,Queens,17
ALANA,F,human,2013,Bronx,10
ALANA,F,human,2013,Queens,15
ALANA,F,human,2014,Bronx,15
ALANA,F,human,2014,New York,7
ALANA,F,human,2014,Queens,19
ALANA,F,human,2015,Bronx,11
ALANA,F,human,2015,Kings,13
ALANA,F,human,2015,Queens,11
ALANI,F,human,2012,Kings,11
ALANI,F,human,2014,Bronx,5
ALANI,F,human,2014,Kings,5
ALANI,F,human,2015,Kings,11
ALANIS,F,human,2014,Bronx,12
ALANIS,F,human,2014,Queens,8
ALANNA,F,human,2014,Bronx,6
ALAYNA,F,human,2014,Kings,5
ALAYSIA,F,human,2014,Bronx,5
ALBERT,M,human,2007,Kings,19
ALBERT,M,human,2007,New York,12
ALBERT,M,human,2007,Queens,13
ALBERT,M,human,2008,Bronx,17
ALBERT,M,human,2008,Kings,29
